item_name,category,sell_price,cost_per_unit,gp_per_unit
Beef Chili,Starters,7.0,2.02,4.98
Brownie,Desserts,6.0,1.59,4.41
Cheese Fries,Starters,5.0,1.42,3.58
Cheesecake,Desserts,7.0,1.52,5.48
Chicken Melt,Starters,8.0,2.0,6.0
Chocolate Cake,Desserts,6.0,1.78,4.22
Coca Cola,Drinks,2.5,0.52,1.98
French Fries,Starters,4.0,1.02,2.98
Fruit Salad,Desserts,4.0,0.96,3.04
Garlic Bread,Side Dishes,4.0,1.02,2.98
Grilled Chicken,Main Dishes,15.0,5.12,9.88
Grilled Vegetables,Side Dishes,5.0,1.74,3.26
Ice Cream,Desserts,5.0,1.05,3.95
Iced Tea,Drinks,2.5,0.39,2.11
Lemonade,Drinks,3.0,0.46,2.54
Mashed Potatoes,Side Dishes,4.0,1.2,2.8
Nachos Grande,Starters,10.0,3.05,6.95
Onion Rings,Side Dishes,5.0,1.35,3.65
Orange Juice,Drinks,3.0,0.51,2.49
Pasta Alfredo,Main Dishes,12.0,4.04,7.96
Salmon,Main Dishes,18.0,6.45,11.55
Side Salad,Side Dishes,3.0,1.03,1.97
Steak,Main Dishes,20.0,6.62,13.38
Sweet Potato Fries,Starters,5.0,1.57,3.43
Vegetarian Platter,Main Dishes,14.0,4.32,9.68
Water,Drinks,1.0,0.24,0.76
